Poll,Date,Trump,Carson,Rubio,Cruz,Bush,Fiorina,Huckabee,Christie,Kasich,Paul,Graham,Pataki,Santorum,Jindal,Spread
CNN/ORC,5/29 - 5/31,3,7,14,8,13,1,10,4,1,8,1,3,2,1,Rubio +1
ABC/Wash Post,5/28 - 5/31,4,8,10,8,10,2,9,6,3,11,1,1,4,1,Tie 
Quinnipiac,5/19 - 5/26,5,10,10,6,10,2,10,4,2,7,1,0,0,1,Tie 
FOX News,5/9 - 5/12,4,13,9,6,13,1,10,6,2,7,0,0,2,1,Tie 
PPP (D),5/7 - 5/10,--,12,13,10,11,--,12,5,--,9,--,--,--,--,Walker +5
NBC/WSJ,4/26 - 4/30,--,7,18,11,23,1,5,5,--,11,--,--,--,--,Bush +5
FOX News,4/19 - 4/21,5,6,13,8,9,0,9,6,2,10,1,1,1,1,Rubio +1
Quinnipiac,4/16 - 4/21,--,3,15,9,13,1,7,7,2,8,2,--,2,1,Rubio +2
CNN/ORC,4/16 - 4/19,--,4,11,7,17,2,9,4,2,11,2,0,3,2,Bush +5
FOX News,3/29 - 3/31,3,11,8,10,12,1,10,4,1,9,0,1,2,2,Walker +3
ABC/Wash Post,3/26 - 3/29,--,6,8,12,21,1,8,7,1,8,1,--,2,1,Bush +8
PPP (D),3/26 - 3/31,--,10,6,16,17,--,6,4,--,10,--,--,--,--,Walker +3
CNN/ORC,3/13 - 3/15,--,9,7,4,16,0,10,7,2,12,1,--,1,1,Bush +3
McClatchy/Marist,3/1 - 3/4,--,9,5,4,19,2,10,6,--,7,1,--,2,--,Bush +1
Quinnipiac,2/26 - 3/2,--,7,5,6,16,--,8,8,1,6,1,--,2,2,Walker +2
PPP (D),2/20 - 2/22,--,18,3,5,17,--,10,5,--,4,--,--,--,--,Walker +7
CNN/ORC,2/12 - 2/15,--,9,6,3,12,1,17,7,2,11,1,--,2,1,Huckabee +5
FOX News,1/25 - 1/27,--,10,5,4,15,--,13,6,2,13,1,--,2,3,Bush +2
